step,angle,given_mag,mean_meas,mean_dir,n,mean_err,dir_err,angle_group,sweep_dir
1,-151.418746,5.0,3.245179777463699,-159.08642464513113,100,-1.754820222536301,-7.667678645131133,1,ascending
2,-151.418746,10.0,7.898162318180441,-158.0506241671886,101,-2.1018376818195588,-6.631878167188603,1,ascending
3,-151.418746,15.0,10.843210528539933,-156.19785554678887,100,-4.156789471460067,-4.779109546788874,1,ascending
4,-151.418746,24.0,17.992208888280516,-153.99515911523224,99,-6.007791111719484,-2.576413115232242,1,ascending
9,-116.966542,5.0,6.838066492105225,-128.43465516144084,100,1.8380664921052254,-11.46811316144084,3,ascending
10,-116.966542,10.0,8.501749499585364,-113.84157268611183,100,-1.4982505004146365,3.1249693138881725,3,ascending
11,-116.966542,15.0,12.2988712977085,-115.28840585193704,100,-2.7011287022915003,1.6781361480629613,3,ascending
12,-116.966542,24.0,17.388546688139062,-116.3969926165712,101,-6.611453311860938,0.5695493834288072,3,ascending
17,-82.514337,5.0,6.187241018354397,-95.12143785959333,99,1.1872410183543973,-12.60710085959333,5,ascending
18,-82.514337,10.0,8.49205359028308,-89.5620830622658,100,-1.5079464097169204,-7.0477460622658015,5,ascending
19,-82.514337,15.0,13.629983807014073,-79.08232897782706,100,-1.3700161929859274,3.432008022172937,5,ascending
20,-82.514337,24.0,20.939437150052946,-81.16296957006129,101,-3.060562849947054,1.3513674299387048,5,ascending
25,-48.062132,5.0,5.428365540763105,-57.20108416390403,100,0.42836554076310485,-9.13895216390403,7,ascending
26,-48.062132,10.0,9.044130716222233,-54.42834662257743,100,-0.9558692837777674,-6.366214622577431,7,ascending
27,-48.062132,15.0,14.646407650880509,-51.82791182852779,100,-0.35359234911949144,-3.7657798285277906,7,ascending
28,-48.062132,24.0,20.757193471027968,-50.94268253411614,101,-3.2428065289720323,-2.8805505341161393,7,ascending
