step,angle,given_mag,mean_meas,mean_dir,n,mean_err,dir_err,angle_group,sweep_dir
1,-122.979258,5.0,2.931951091615763,-128.27006971184707,101,-2.068048908384237,-5.29081171184707,1,ascending
2,-122.979258,10.0,7.580470714063282,-128.23208446698132,90,-2.4195292859367177,-5.252826466981318,1,ascending
3,-122.979258,15.0,10.112221376183626,-127.24280150654124,101,-4.887778623816374,-4.2635435065412395,1,ascending
4,-122.979258,24.0,17.815519393473387,-126.64038724907249,100,-6.184480606526613,-3.661129249072488,1,ascending
5,-112.171722,24.0,18.031373690626946,-115.14630568297115,100,-5.968626309373054,-2.9745836829711436,2,descending
6,-112.171722,15.0,17.010564167835614,-117.87191510458095,90,2.0105641678356143,-5.700193104580947,2,descending
7,-112.171722,10.0,13.599497499819547,-117.42399770225147,101,3.599497499819547,-5.252275702251467,2,descending
8,-112.171722,5.0,7.148877980429397,-115.05770383966663,100,2.148877980429397,-2.885981839666627,2,descending
9,-101.364186,5.0,6.526071079434414,-108.65944552544691,100,1.5260710794344137,-7.295259525446909,3,ascending
10,-101.364186,10.0,8.605474783031674,-104.16446750033934,100,-1.3945252169683258,-2.800281500339338,3,ascending
11,-101.364186,15.0,11.778393061525378,-106.51860249460043,100,-3.221606938474622,-5.154416494600426,3,ascending
12,-101.364186,24.0,19.219578358159758,-100.73422227277776,90,-4.780421641840242,0.6299637272222469,3,ascending
13,-90.556651,24.0,20.853265787995433,-94.11612184983387,101,-3.146734212004567,-3.559470849833872,4,descending
14,-90.556651,15.0,17.28202691911858,-96.60437029092162,100,2.2820269191185787,-6.04771929092162,4,descending
15,-90.556651,10.0,12.72576711463935,-95.90130402936893,100,2.72576711463935,-5.344653029368928,4,descending
16,-90.556651,5.0,5.216388336217284,-100.8964812814844,100,0.2163883362172836,-10.339830281484396,4,descending
17,-79.749115,5.0,5.0213872346338135,-96.04132277508735,100,0.021387234633813534,-16.29220777508735,5,ascending
18,-79.749115,10.0,8.175055065559146,-79.57541504127454,90,-1.824944934440854,0.1736999587254644,5,ascending
19,-79.749115,15.0,12.728330742810657,-77.58565934956196,101,-2.271669257189343,2.1634556504380384,5,ascending
20,-79.749115,24.0,18.485990292177107,-82.36701512200875,90,-5.514009707822893,-2.6179001220087486,5,ascending
21,-68.94158,24.0,23.965150886295252,-70.75640456189947,101,-0.03484911370474819,-1.8148245618994707,6,descending
22,-68.94158,15.0,18.67235535898131,-71.32630488078523,89,3.67235535898131,-2.384724880785228,6,descending
23,-68.94158,10.0,10.466529486604742,-74.61329132603151,101,0.4665294866047418,-5.671711326031513,6,descending
24,-68.94158,5.0,6.729708804911952,-74.336006870745,100,1.7297088049119518,-5.394426870744994,6,descending
25,-58.134044,5.0,6.489244476898125,-66.67952884250649,100,1.4892444768981248,-8.545484842506482,7,ascending
26,-58.134044,10.0,8.888566079869745,-63.45006719801086,100,-1.1114339201302545,-5.3160231980108605,7,ascending
27,-58.134044,15.0,11.396988268069062,-61.2920908539737,100,-3.6030117319309376,-3.158046853973694,7,ascending
28,-58.134044,24.0,22.51135817803305,-57.61066257070623,101,-1.4886418219669508,0.5233814292937709,7,ascending
